,geneSymbol,moduleColor,GSsubtype,p.GSsubtype,MM.turquoise,p.MMturquoise,MM.green,p.MMgreen,MM.yellow,p.MMyellow,MM.grey,p.MMgrey,MM.blue,p.MMblue,MM.pink,p.MMpink,MM.red,p.MMred,MM.black,p.MMblack,MM.brown,p.MMbrown
TM4SF1,TM4SF1,turquoise,-0.459300864692043,4.00553419758302e-21,-0.3958633910296,1.24282922087902e-15,-0.227738965526981,7.74959380579284e-06,0.100092376997439,0.0518401628910593,0.290497951397291,8.72762607987685e-09,0.0892626216177984,0.0830641732624317,-0.103507830153099,0.0443083271582255,0.0768339335761141,0.135940519425226,-0.0850629601924929,0.0986712522737186,0.119609163260884,0.0200120130291225
PKIB,PKIB,turquoise,0.459757277192276,3.62095081386975e-21,0.579898726465485,2.40611703057777e-35,0.315316461316565,3.59126774253722e-10,-0.371624997120047,7.98843648001061e-14,-0.136159185530787,0.00802952784722428,-0.128171485488429,0.0126319694206393,0.112172708766013,0.0292167188992281,0.101985481549848,0.0475434633029142,0.0807793404547552,0.116906432526386,-0.043075433787722,0.403663574620819
SLC1A4,SLC1A4,turquoise,0.460310473044588,3.2033220145735e-21,0.520901902898631,1.11967188682831e-27,0.393554909291388,1.87551558565818e-15,-0.216262427458013,2.22537068185785e-05,-0.145403358514034,0.0046160925890121,-0.114959397061583,0.0254121898889464,-0.0231239725157091,0.654043240387912,0.149880589532109,0.00349047640836262,0.0687659049288693,0.182166568565544,0.0450631200037932,0.382298308749059
SLC9A3R2,SLC9A3R2,turquoise,0.460433327878165,3.11722247603956e-21,0.518892692041679,1.92528972118291e-27,0.0298902334828472,0.562361566103228,-0.354756177384779,1.18702961400537e-12,-0.442726989396515,1.41493580178553e-19,-0.119269290731629,0.0203698274392427,0.0760843982447617,0.139811997094043,0.273942878474741,6.22205395243897e-08,0.053289681212945,0.301429448527792,0.156422697060646,0.00228896140854498
TMEM30B,TMEM30B,turquoise,0.460753892197451,2.90315370948339e-21,0.599421549406294,3.05209882607356e-38,0.425714939327358,4.50832207429415e-18,-0.415443263856652,3.32199404497546e-17,-0.0576574491364925,0.263478702607008,-0.252644353179242,6.46898838529879e-07,-0.00610900881091701,0.905766219571953,0.214275388333161,2.65636066963064e-05,0.0130810567948718,0.799886995907356,0.0298583871192205,0.562778235996496
PLA2G16,PLA2G16,turquoise,0.461115501273318,2.67902658168893e-21,0.518406700498077,2.19382258955301e-27,0.175458049211029,0.000611153454526028,-0.438115576477418,3.68660146379479e-19,-0.163960018113859,0.00137970221729618,0.0383963533493447,0.456687407417452,0.1055879290711,0.0401887323941489,0.252013113590475,6.91233065980011e-07,0.198151858434559,0.00010519913287661,0.182195929698721,0.000370280347027776
ZNF680,ZNF680,turquoise,0.46126214272495,2.59307580746908e-21,0.554401062646116,7.63907732313284e-32,0.558843216896033,1.97064340669976e-32,-0.242022055369307,1.92804101426929e-06,-0.0573722071183447,0.265852066445509,-0.187560485038463,0.000245306171741832,0.273165324458329,6.80197737325222e-08,0.1227607576099,0.0169460803394068,0.0680319317925389,0.186888159708087,-0.116307211262985,0.0237306952052546
ETNK2,ETNK2,turquoise,0.462106065575805,2.14872584563558e-21,0.516563282699809,3.59305594533113e-27,0.270337975652448,9.38303367336856e-08,-0.21898337588906,1.74164808948419e-05,-0.148635842734343,0.00377536996303699,-0.185082361574035,0.00029711855859575,0.0845132800252524,0.100876245377107,0.185093823512959,0.000296857001750215,0.000555919053409851,0.991404949796982,0.148070688571071,0.0039115371779533
CUEDC1,CUEDC1,turquoise,0.46286247399762,1.81476118753304e-21,0.468031289807716,5.65720078930599e-22,0.377000357901412,3.26846996320927e-14,-0.206800500437432,5.09508440254102e-05,-0.160389449391741,0.00175835132689265,-0.0903669594189822,0.0793093784841379,-0.056026409873404,0.277247268570549,0.0659330139987704,0.200886169751255,0.167419323262785,0.00108573349918412,0.0809874072320816,0.115963681112675
PGPEP1,PGPEP1,turquoise,0.464008747662807,1.40377641047696e-21,0.60386407034597,6.27127620564136e-39,0.368390080359592,1.35700567287151e-13,-0.532967854352221,3.99865143888744e-29,0.0880468798066227,0.0873622785365258,-0.0862747503206825,0.0939456508624335,0.333274085161588,2.94750253549492e-11,0.258656352400517,3.41031380456222e-07,0.0416094868611603,0.419867578838289,0.0522468960892181,0.311001119279433
